Date  ,Time,Temperature (ºC),Luminosity (lux)
2023-06-09,08:14,25.37,720.0
2023-06-09,08:34,25.62,800.64
2023-06-09,08:54,25.81,524.16
2023-06-09,09:14,25.94,737.28
2023-06-09,09:34,26.56,2407.68
2023-06-09,09:34,26.56,2407.68
2023-06-09,09:54,27.13,1146.24
2023-06-09,10:15,27.06,624.96
2023-06-09,10:35,26.94,748.8
2023-06-09,10:55,27.0,852.48
2023-06-09,11:15,27.13,823.68
2023-06-09,11:35,27.19,1054.08
2023-06-09,11:55,27.5,1082.88
2023-06-09,12:15,27.5,1013.76
2023-06-09,12:35,27.69,1388.16
2023-06-09,12:55,27.5,1278.72
2023-06-09,13:15,27.5,1319.04
2023-06-09,13:35,27.69,1296.0
2023-06-09,13:56,27.62,1543.68
2023-06-09,14:16,27.56,1284.48
2023-06-09,14:36,27.56,1100.16
2023-06-09,14:56,27.56,915.84
2023-06-09,15:16,27.5,789.12
2023-06-09,15:36,27.44,722.88
2023-06-09,15:56,27.37,567.36
2023-06-09,16:17,26.94,483.84
2023-06-09,16:37,27.19,460.8
2023-06-09,16:57,27.19,348.48
2023-06-09,17:17,27.06,286.56
2023-06-09,17:37,26.87,321.12
2023-06-09,17:57,26.69,257.76
2023-06-09,18:17,26.44,260.64
2023-06-09,18:38,26.56,164.16
2023-06-09,18:58,26.5,124.56
2023-06-09,19:18,26.37,144.72
2023-06-09,19:38,26.25,275.04
2023-06-09,19:58,26.12,190.08
2023-06-09,20:18,26.06,101.52
2023-06-09,20:38,26.0,67.68
2023-06-09,20:58,25.81,43.74
2023-06-09,21:18,25.88,15.39
2023-06-09,21:38,25.69,4.91
2023-06-09,21:58,25.56,2.16
2023-06-09,22:18,25.56,1.89
2023-06-09,22:38,25.56,1.85
2023-06-09,22:57,25.5,1.85
2023-06-09,23:17,25.31,1.71
2023-06-09,23:37,25.12,1.75
2023-06-09,23:57,25.25,1.71
2023-06-10,00:17,25.37,1.75
2023-06-10,00:37,25.37,1.71
2023-06-10,00:58,25.31,1.8
2023-06-10,01:18,25.25,1.39
2023-06-10,01:38,25.25,1.39
2023-06-10,01:58,25.25,1.39
2023-06-10,02:17,25.19,1.39
2023-06-10,02:37,25.12,1.39
2023-06-10,02:58,25.06,1.39
2023-06-10,02:58,25.06,1.39
2023-06-10,03:18,24.94,1.39
2023-06-10,03:38,24.87,1.39
2023-06-10,03:58,24.81,1.44
2023-06-10,04:18,24.75,1.71
2023-06-10,04:40,24.69,3.91
2023-06-10,05:00,24.63,20.61
2023-06-10,05:20,24.56,66.96
2023-06-10,05:40,24.5,137.52
2023-06-10,06:00,24.56,226.08
2023-06-10,06:20,24.56,313.92
2023-06-10,06:40,24.63,377.28
2023-06-10,07:00,24.63,443.52
2023-06-10,07:20,24.69,463.68
2023-06-10,07:40,24.81,576.0
2023-06-10,08:00,24.87,653.76
2023-06-10,08:22,25.06,743.04
2023-06-10,08:42,25.19,852.48
2023-06-10,09:02,25.44,1071.36
2023-06-10,09:21,27.06,3686.4
2023-06-10,09:41,27.31,2615.04
2023-06-10,10:01,27.87,3041.28
2023-06-10,10:22,29.25,6128.64
2023-06-10,10:42,27.0,1520.64
2023-06-10,10:42,27.0,1520.64
2023-06-10,11:03,26.75,1509.12
2023-06-10,11:24,26.69,1635.84
2023-06-10,11:45,27.0,1774.08
2023-06-10,12:27,27.44,1019.52
2023-06-10,12:46,27.69,613.44
2023-06-10,13:07,27.62,777.6
2023-06-10,13:27,27.75,1054.08
2023-06-10,13:47,27.69,1117.44
2023-06-10,14:07,27.62,1175.04
2023-06-10,14:27,27.62,1094.4
2023-06-10,14:48,27.69,1013.76
2023-06-10,15:08,27.87,1054.08
2023-06-10,15:28,27.94,1105.92
2023-06-10,15:48,28.06,1134.72
2023-06-10,16:08,28.19,1146.24
2023-06-10,16:29,28.38,910.08
2023-06-10,16:49,28.19,486.72
2023-06-10,17:09,28.06,151.92
2023-06-10,17:30,27.94,262.08
2023-06-10,17:49,27.69,207.36
2023-06-10,18:09,27.56,362.88
2023-06-10,18:29,27.62,938.88
2023-06-10,18:50,27.37,743.04
2023-06-10,19:10,26.87,397.44
2023-06-10,19:30,26.94,276.48
2023-06-10,19:50,26.87,227.52
2023-06-10,20:10,26.81,194.4
2023-06-10,20:30,26.81,201.6
2023-06-10,20:50,26.94,105.12
2023-06-10,21:10,26.56,48.24
2023-06-10,21:30,26.31,11.3
2023-06-10,21:50,26.19,2.88
2023-06-10,22:10,25.75,1.22
2023-06-10,22:31,25.75,0.99
2023-06-10,22:51,25.56,0.99
2023-06-10,23:11,25.5,0.99
2023-06-10,23:31,25.25,0.99
2023-06-10,23:51,25.44,0.99
2023-06-11,00:11,25.44,0.99
2023-06-11,00:31,25.37,0.99
2023-06-11,00:51,25.44,0.99
2023-06-11,01:12,25.31,0.86
2023-06-11,01:32,25.31,0.86
2023-06-11,01:52,25.25,0.86
2023-06-11,01:52,25.25,0.86
2023-06-11,02:12,25.19,0.86
2023-06-11,02:32,25.12,0.27
2023-06-11,02:52,25.0,0.27
2023-06-11,03:13,24.94,0.27
2023-06-11,03:33,24.87,0.27
2023-06-11,03:53,24.81,0.31
2023-06-11,04:13,24.63,0.45
2023-06-11,04:33,24.63,1.89
2023-06-11,04:53,24.56,12.51
2023-06-11,05:13,24.44,48.6
2023-06-11,05:33,24.44,113.76
2023-06-11,05:53,24.37,201.6
2023-06-11,06:13,24.44,286.56
2023-06-11,06:13,24.44,286.56
2023-06-11,06:33,24.31,364.32
2023-06-11,06:53,24.31,432.0
2023-06-11,07:13,24.31,512.64
2023-06-11,07:34,24.0,587.52
2023-06-11,07:54,23.94,636.48
2023-06-11,07:54,23.94,636.48
2023-06-11,08:14,24.06,659.52
2023-06-11,08:34,24.31,717.12
2023-06-11,08:34,24.31,717.12
2023-06-11,08:54,24.37,783.36
2023-06-11,08:54,24.37,783.36
2023-06-11,09:36,25.31,1716.48
2023-06-11,09:56,25.69,1175.04
2023-06-11,10:16,26.25,2545.92
2023-06-11,10:36,26.81,1192.32
2023-06-11,10:36,26.81,1192.32
2023-06-11,10:56,26.37,1019.52
2023-06-11,11:16,26.5,961.92
2023-06-11,11:37,26.56,1036.8
2023-06-11,11:58,26.69,1100.16
2023-06-11,12:18,26.94,1019.52
